Week,Date,Day,Activity Title,Intensity / Power Target,Strength Protocol,Target Load (TSS),Fuel Tier,Commander's Intent / Notes
-1,Feb-28,SAT,Shakeout Run (15 mins),Zone 1 (Very Easy),Activation,15,HIGH,"The Dress Rehearsal. Wear race kit. Final glycogen top-up."
-1,Mar-01,SUN,BEACON FELL 10K,RACE: 295W - 310W,Rest,145,RACE,A-RACE STRIKE. Defend the 336W power floor on climbs.
0,Mar-02,MON,Full Recovery,Rest,Rest,0,MED,CNS Reset. High protein (220g+) to repair muscle damage.
0,Mar-03,TUE,Active Recovery,Zone 1 Walk/Spin,Mobility,20,LOW,Flush the chassis. Mobility work only.
0,Mar-04,WED,Spin Recovery,Zone 1 Flush,Upper (A),35,LOW,Bridge Day. Chest/Back pump. Keep legs light.
0,Mar-05,THU,Rest / Mobility,Recovery,Mobility,10,LOW,Zero impact. Hydration focus.
0,Mar-06,FRI,Easy Flush Run: 5km,Zone 2,Rest,45,LOW,Gentle aerobic movement. Test the quad status.
0,Mar-07,SAT,Rest,Recovery,Rest,0,LOW,System standby.
0,Mar-08,SUN,Foundation Run: 8km,< 260W,Rest,75,MED,Structural check. Prime the engine for Week 1.
1,Mar-09,MON,Rest / Mobility,Recovery,Upper (A),20,LOW,System reset. Focus on upper body volume.
1,Mar-10,TUE,Intervals: 8x600m,315W - 330W,Rest,85,MED,CADENCE REWIRE. 170+ SPM. No stomping.
1,Mar-11,WED,Wattbike: 45 mins,Zone 2 (Steady),Core (C),50,LOW,No impact. Pure engine building.
1,Mar-12,THU,Rest,Recovery,Legs (B),30,MED,Squats Return (3x5). Heavy but safe.
1,Mar-13,FRI,Tempo Run: 6km,290W - 300W,Rest,70,MED,Test the 1:45 Pace. Smooth rhythm.
1,Mar-14,SAT,Rest,Recovery,Mobility (C),15,LOW,Hydrate. Prep for long run.
1,Mar-15,SUN,Long Run: 12km,< 260W (Easy),Rest,115,HIGH,Train the gut: 1 Gel at km 7. 170 SPM focus.
2,Mar-16,MON,Rest / Mobility,Recovery,Upper (A),20,LOW,High protein recovery focus.
2,Mar-17,TUE,Intervals: 5x1km,310W - 325W,Rest,95,MED,Threshold work. Hold the line. 2 min rest.
2,Mar-18,WED,Wattbike: 60 mins,Zone 2,Core (C),65,LOW,Extend the engine durability.
2,Mar-19,THU,Rest,Recovery,Legs (B),35,HIGH,Max Strength. Deadlifts are critical here.
2,Mar-20,FRI,Tempo Run: 7km,290W - 300W,Rest,85,MED,Conditioning to discomfort. Maintain form.
2,Mar-21,SAT,Rest,Recovery,Mobility (C),10,LOW,CNS recharge and sleep focus.
2,Mar-22,SUN,Long Run: 14km,< 260W (Easy),Rest,135,HIGH,Volume jump. 2 Gels. NO STOMPING.
3,Mar-23,MON,Rest / Mobility,Recovery,Upper (A),20,LOW,Flush the chassis.
3,Mar-24,TUE,Hills: 10x2min,330W+ (Uphill),Rest,110,MED,Short stride high power. Walk down.
3,Mar-25,WED,Wattbike: 60 mins,Zone 2,Core (C),65,LOW,Flush the hill legs. High rpm spin.
3,Mar-26,THU,Rest,Recovery,Legs (B),35,HIGH,Heavy Squats. Fuel is critical.
3,Mar-27,FRI,Tempo Run: 8km,295W Avg,Rest,100,MED,KPI TEST: Hold 295W for duration.
3,Mar-28,SAT,Rest,Recovery,Mobility (C),10,LOW,Structural integrity check.
3,Mar-29,SUN,Long Run: 16km,< 260W (Easy),Rest,160,HIGH,Big volume peak for block. 2 Gels.
4,Mar-30,MON,Rest / Mobility,Recovery,Upper (A),15,LOW,DELOAD WEEK. System cooling.
4,Mar-31,TUE,Fartlek: 6km,By Feel,Rest,55,MED,Fun speed. Unstructured. No watch watching.
4,Apr-01,WED,Wattbike: 45 mins,Zone 1 (Easy),Core (C),35,LOW,Easy gears. Just blood flow.
4,Apr-02,THU,Rest,Recovery,Light Lift,20,LOW,Maintenance lift. Drop weight by 30%.
4,Apr-03,FRI,Easy Run: 5km,Zone 2,Rest,40,LOW,Shakeout before time trial.
4,Apr-04,SAT,Rest,Recovery,Mobility (C),10,LOW,Prep for Time Trial.
4,Apr-05,SUN,Time Trial: 10km,MAX EFFORT,Rest,110,MED,KPI: Break 50:00 (Sub-5:00/km).
5,Apr-06,MON,Rest / Mobility,Recovery,Upper (A),20,LOW,Cycle 2/3 Begins.
5,Apr-07,TUE,Intervals: 4x1.5km,310W - 320W,Rest,105,MED,Speed Endurance. Long Threshold reps.
5,Apr-08,WED,Wattbike: 75 mins,Zone 2,Core (C),80,LOW,Long Aerobic Ride.
5,Apr-09,THU,Rest,Recovery,Legs (B),35,HIGH,Deadlift focus. Surplus fueling.
5,Apr-10,FRI,Tempo Run: 8km,295W - 300W,Rest,100,MED,Race pace feel calibration.
5,Apr-11,SAT,Rest,Recovery,Mobility (C),10,LOW,Engine prep.
5,Apr-12,SUN,Long Run: 18km,< 260W (Easy),Rest,185,HIGH,The Diesel Run. 3 Gels.
6,Apr-13,MON,Rest / Mobility,Recovery,Upper (A),20,LOW,Heaviest volume week of the block.
6,Apr-14,TUE,Intervals: 3x2km,305W - 315W,Rest,115,MED,Mental toughness. Sustained hard pace.
6,Apr-15,WED,Wattbike: 90 mins,Zone 2,Core (C),100,LOW,MAX BIKE VOLUME.
6,Apr-16,THU,Rest,Recovery,Legs (B),35,HIGH,Last heavy leg session of plan.
6,Apr-17,FRI,Tempo: 10km,295W (Race Power),Rest,125,MED,SIMULATION: 10km @ Goal Race Pace.
6,Apr-18,SAT,Rest,Recovery,Mobility (C),10,LOW,Sleep focus.
6,Apr-19,SUN,Long Run: 19km,< 260W (Easy),Rest,195,HIGH,THE CAP. 19km Max limit.
7,Apr-20,MON,Rest / Mobility,Recovery,Upper (A),20,LOW,Speed Block Begins.
7,Apr-21,TUE,Intervals: 6x800m,330W+,Rest,90,MED,Faster than race pace. Lung expansion.
7,Apr-22,WED,Wattbike: 60 mins,Zone 2,Core (C),65,LOW,System flush.
7,Apr-23,THU,Rest,Recovery,Maint Lift,20,LOW,Maintenance lift. Zero grinding.
7,Apr-24,FRI,1km On / 1km Off,315W / 250W,Rest,90,MED,Teach body to recover at speed.
7,Apr-25,SAT,Rest,Recovery,Mobility (C),10,LOW,Tapering readiness.
7,Apr-26,SUN,Long Run: 16km,< 260W (Easy),Rest,150,MED,Tapering volume down.
8,Apr-27,MON,Rest / Mobility,Recovery,Upper (A),20,LOW,3 Weeks Out.
8,Apr-28,TUE,Intervals: 10x400m,335W - 350W,Rest,85,MED,VO2 Max speed. Fast and light.
8,Apr-29,WED,Wattbike: 45 mins,Zone 1,Core (C),40,LOW,Easy blood flow spin.
8,Apr-30,THU,Rest,Recovery,Light Lift,20,LOW,Fast reps. Explosive priming.
8,May-01,FRI,Easy Run: 8km,Zone 2,Rest,65,LOW,Aerobic maintenance.
8,May-02,SAT,Rest,Recovery,Mobility (C),10,LOW,Total rest.
8,May-03,SUN,Run: 12km (Blocks),3x3km @ 295W,Rest,105,HIGH,Dress Rehearsal. Test 1:45 pace.
9,May-04,MON,Rest / Mobility,Recovery,Upper (A),20,LOW,2 Weeks Out.
9,May-05,TUE,Intervals: 4x1km,300W (Goal Pace),Rest,70,MED,Calibrating race pace feel.
9,May-06,WED,Wattbike: 30 mins,Zone 1,Core (C),25,LOW,Minimum dose.
9,May-07,THU,Rest,Recovery,Light Lift,20,LOW,Priming for race force.
9,May-08,FRI,Shakeout: 5km,Zone 2,Rest,40,LOW,Keep the legs moving.
9,May-09,SAT,Rest,Recovery,Rest,0,LOW,Pre-long run reset.
9,May-10,SUN,Medium Run: 10km,Zone 2,Rest,80,MED,Final long-ish run. Easy.
10,May-11,MON,Rest / Mobility,Recovery,Light Upper,15,LOW,RACE WEEK. DEFCON 1.
10,May-12,TUE,Intervals: 3x400m,300W,Rest,35,MED,Anniversary Dinner (Safe Food).
10,May-13,WED,Wattbike: 20 mins,Zone 1,Stretch,15,LOW,Blood flow only.
10,May-14,THU,Rest,Recovery,Rest,0,LOW,Total stillness.
10,May-15,FRI,Rest,Recovery,Rest,0,HIGH,Carb Load Starts. Hydrate.
10,May-16,SAT,Shakeout: 2km,Zone 1,Activation,15,HIGH,Dress rehearsal. Kit check.
10,May-17,SUN,CHESTER HM,RACE: 295W,Rest,280,RACE,GOAL: SUB-1:45. Execution Day.
